Gender,Age Range,Ethnicity,Department,Education Level,Years of Experience,Performance Score,Training Participation,Support for Diversity Initiatives,Experienced Workplace Bias,Projects Handled,Overtime Hours,Promotion Status
Female,40-49,White,Finance,Bachelor,21,80,Yes,No,Yes,2,5,No
Female,30-39,Asian,Marketing,PhD,3,90,No,Yes,No,7,4,Yes
Female,30-39,White,Finance,Bachelor,13,85,Yes,No,No,8,15,No
Male,30-39,Hispanic,Finance,PhD,8,60,No,Yes,Yes,1,29,Yes
Female,20-29,White,IT,Master,23,85,No,No,Yes,3,24,No
Female,50-59,Hispanic,HR,Master,16,90,No,No,No,7,15,No
Female,40-49,White,Marketing,Master,13,85,No,No,No,13,9,Yes
Female,50-59,Black,Finance,PhD,3,80,No,No,Yes,9,8,No
Male,40-49,Black,Marketing,Bachelor,16,70,Yes,No,Yes,8,3,Yes
Female,30-39,Hispanic,IT,Bachelor,9,70,Yes,No,No,8,28,No
Male,20-29,Hispanic,Finance,Master,28,90,Yes,No,No,9,13,Yes
Male,50-59,Black,IT,Master,14,70,Yes,Yes,No,10,3,Yes
Male,20-29,Hispanic,Marketing,Master,13,70,Yes,Yes,No,3,11,Yes
Male,40-49,White,IT,Master,21,60,No,Yes,No,8,23,Yes
Male,20-29,White,Marketing,Bachelor,25,90,No,Yes,Yes,1,9,Yes
Male,20-29,Black,IT,PhD,7,90,Yes,No,Yes,8,3,Yes
Female,50-59,Asian,Marketing,PhD,15,70,Yes,No,No,13,17,No
Male,30-39,White,HR,PhD,7,70,Yes,No,Yes,7,12,Yes
Male,20-29,Hispanic,IT,PhD,6,70,No,Yes,Yes,13,12,Yes
Male,30-39,Asian,IT,Master,2,95,No,Yes,No,8,13,Yes
Female,40-49,Asian,HR,Master,9,80,No,Yes,Yes,1,17,No
Female,20-29,White,HR,Master,22,85,Yes,No,Yes,6,0,No
Male,50-59,White,IT,PhD,24,80,Yes,Yes,Yes,7,20,Yes
Female,40-49,Asian,HR,Master,17,90,Yes,No,No,14,15,No
Male,40-49,Asian,Finance,Master,5,60,Yes,Yes,No,11,14,Yes
Male,50-59,Black,Marketing,Bachelor,12,85,No,No,Yes,5,21,No
Female,20-29,Hispanic,Marketing,Bachelor,1,60,Yes,Yes,Yes,14,24,No
Male,20-29,Black,Marketing,Master,10,95,Yes,No,Yes,5,4,No
Female,40-49,White,Finance,Bachelor,11,90,Yes,Yes,Yes,7,28,No
Female,20-29,Black,HR,Bachelor,16,95,No,Yes,Yes,11,5,No
Male,30-39,Black,HR,Master,14,90,No,No,Yes,3,5,Yes
Male,50-59,Black,IT,Master,8,60,Yes,No,No,6,2,Yes
Female,30-39,Black,HR,Master,24,60,No,Yes,Yes,7,15,No
Male,20-29,Hispanic,IT,Master,17,60,No,No,Yes,1,11,Yes
Male,40-49,Hispanic,Finance,PhD,25,90,No,Yes,No,12,3,No
Male,50-59,Asian,Marketing,PhD,18,70,No,No,Yes,2,0,Yes
Female,20-29,White,Marketing,Master,12,60,No,Yes,Yes,12,3,No
Female,20-29,Black,Marketing,Bachelor,25,95,Yes,No,Yes,4,0,No
Male,40-49,Asian,HR,Master,17,85,Yes,Yes,Yes,13,20,Yes
Female,40-49,Asian,IT,Master,28,90,Yes,Yes,No,8,26,No
Female,30-39,Asian,IT,Bachelor,26,95,No,Yes,Yes,11,26,No
Female,50-59,Hispanic,Finance,PhD,14,80,No,No,No,13,7,No
Female,50-59,Black,HR,Master,16,80,No,Yes,Yes,14,23,Yes
Female,40-49,Black,Finance,Master,14,85,No,No,Yes,10,4,Yes
Male,30-39,White,IT,PhD,9,70,Yes,No,No,6,29,Yes
Male,50-59,Black,IT,PhD,4,60,Yes,No,Yes,1,25,Yes
Male,40-49,Black,Marketing,Bachelor,25,90,Yes,Yes,No,10,1,Yes
Female,20-29,Asian,HR,PhD,23,95,Yes,No,No,5,11,No
Female,50-59,White,IT,PhD,11,60,Yes,No,No,7,21,No
Male,30-39,Black,Marketing,PhD,6,95,Yes,No,Yes,13,16,Yes
Female,30-39,Hispanic,HR,Bachelor,15,90,No,Yes,Yes,6,6,No
Male,30-39,Black,Finance,PhD,5,80,No,No,Yes,13,10,Yes
Male,20-29,Asian,HR,PhD,11,60,Yes,No,Yes,13,3,Yes
Male,50-59,Hispanic,HR,Bachelor,25,85,No,No,No,12,4,Yes
Female,50-59,Asian,IT,PhD,18,70,Yes,No,Yes,9,5,No
Female,20-29,Black,IT,PhD,30,85,Yes,Yes,Yes,8,10,Yes
Male,50-59,Hispanic,HR,Bachelor,13,70,No,Yes,No,4,0,Yes
Male,20-29,White,IT,Master,11,95,Yes,No,No,13,24,Yes
Male,20-29,White,IT,Bachelor,14,60,Yes,No,Yes,11,9,Yes
Male,20-29,Hispanic,IT,PhD,28,60,Yes,No,No,12,19,No
Female,30-39,Hispanic,Marketing,PhD,18,70,No,No,No,5,23,No
Female,50-59,Asian,Marketing,PhD,27,80,No,Yes,No,7,20,No
Male,20-29,Hispanic,HR,Bachelor,28,90,No,Yes,No,8,10,Yes
Male,50-59,Asian,IT,PhD,25,85,No,Yes,No,5,23,Yes
Female,30-39,Black,Marketing,PhD,28,95,Yes,Yes,Yes,9,16,No
Female,20-29,Asian,HR,Bachelor,19,85,No,No,Yes,14,7,No
Male,40-49,Hispanic,IT,Master,24,85,No,No,Yes,10,26,Yes
Male,30-39,Hispanic,Finance,Master,27,95,No,Yes,Yes,12,12,Yes
Male,40-49,Black,IT,PhD,15,95,Yes,Yes,Yes,4,26,Yes
Female,50-59,Hispanic,IT,Bachelor,9,60,No,No,Yes,4,19,No
Female,50-59,Hispanic,Marketing,PhD,8,85,No,No,Yes,13,17,No
Female,30-39,White,HR,Bachelor,20,90,Yes,No,No,8,26,No
Male,50-59,White,HR,Bachelor,28,90,Yes,No,Yes,1,21,No
Male,40-49,Black,Marketing,Master,1,70,Yes,No,Yes,8,15,Yes
Female,20-29,Asian,IT,Master,4,95,Yes,Yes,Yes,5,1,No
Female,20-29,White,Finance,Bachelor,14,60,No,Yes,No,13,4,No
Male,20-29,Asian,IT,PhD,25,90,Yes,No,Yes,14,17,Yes
Female,30-39,Hispanic,IT,Master,2,80,No,No,Yes,11,2,Yes
Female,50-59,White,Finance,PhD,16,60,No,Yes,No,1,26,No
Male,40-49,Black,Marketing,Master,3,60,No,No,Yes,4,21,Yes
Female,50-59,Black,HR,Master,26,90,No,Yes,Yes,2,16,No
Male,50-59,Black,Marketing,PhD,8,80,No,Yes,No,4,15,Yes
Male,50-59,White,Marketing,Master,6,70,Yes,Yes,Yes,8,5,Yes
Male,20-29,Asian,IT,Master,16,90,No,Yes,No,5,18,Yes
Male,40-49,Hispanic,HR,PhD,24,80,No,No,Yes,1,6,Yes
Male,40-49,Asian,HR,Master,16,60,No,No,Yes,7,17,Yes
Male,50-59,Asian,Marketing,Master,7,80,Yes,Yes,Yes,1,13,Yes
Male,20-29,Hispanic,Finance,Master,30,60,No,No,No,9,5,Yes
Female,20-29,Hispanic,Marketing,PhD,13,90,No,No,No,3,7,No
Male,40-49,White,Finance,Bachelor,13,95,Yes,No,No,12,14,Yes
Male,20-29,White,HR,PhD,5,90,No,No,Yes,3,14,Yes
Female,20-29,White,Marketing,Bachelor,25,85,No,Yes,Yes,6,14,No
Female,20-29,White,IT,Master,20,85,Yes,No,No,10,15,No
Female,30-39,White,Marketing,Bachelor,22,85,No,Yes,No,6,0,No
Male,50-59,Hispanic,HR,PhD,18,90,No,Yes,Yes,13,10,Yes
Female,40-49,Asian,IT,PhD,15,70,No,No,Yes,11,26,Yes
Male,40-49,White,IT,Master,18,90,No,Yes,Yes,11,28,Yes
Male,30-39,White,Finance,Bachelor,2,95,No,No,Yes,6,24,Yes
Male,50-59,Asian,IT,Master,10,80,Yes,No,No,13,4,Yes
Male,40-49,White,IT,Master,23,90,Yes,Yes,Yes,1,4,Yes
Female,20-29,Asian,Marketing,PhD,13,90,Yes,No,Yes,5,28,No
Female,40-49,Asian,HR,Bachelor,18,60,No,Yes,Yes,12,27,No
Male,20-29,Hispanic,Finance,Bachelor,15,60,No,Yes,Yes,6,20,Yes
Male,30-39,Black,Marketing,Bachelor,12,60,No,No,Yes,8,5,Yes
Male,20-29,Hispanic,IT,Bachelor,15,90,Yes,No,Yes,13,1,Yes
Female,40-49,Black,IT,Master,13,70,No,No,Yes,1,5,No
Male,40-49,Black,Finance,Master,18,80,No,Yes,No,5,13,Yes
Male,40-49,Black,HR,PhD,15,80,No,No,No,3,10,Yes
Female,30-39,White,Finance,Master,25,95,Yes,Yes,No,2,3,No
Female,30-39,Hispanic,Marketing,Master,23,70,Yes,Yes,Yes,11,23,No
Male,50-59,Black,Finance,PhD,11,70,No,No,No,8,28,Yes
Female,40-49,Asian,IT,PhD,19,80,No,No,Yes,7,26,No
Female,20-29,White,Marketing,PhD,3,85,No,No,Yes,10,24,No
Male,30-39,Hispanic,IT,Master,7,60,Yes,Yes,Yes,7,8,No
Female,40-49,Black,HR,Master,21,60,Yes,No,Yes,5,23,No
Male,40-49,Asian,IT,PhD,26,80,Yes,Yes,No,12,2,No
Female,30-39,Hispanic,IT,PhD,14,70,No,No,Yes,13,25,Yes
Male,50-59,Hispanic,Finance,PhD,14,95,Yes,No,Yes,9,15,Yes
Male,30-39,White,IT,Master,22,85,No,Yes,No,5,10,Yes
Male,30-39,Hispanic,Marketing,Master,13,80,No,Yes,No,2,26,Yes
Female,20-29,White,Marketing,Bachelor,12,60,Yes,No,No,3,3,No
Male,20-29,Black,HR,Master,24,90,No,No,Yes,4,0,Yes
Female,50-59,White,Marketing,Master,9,70,Yes,No,No,5,24,No
Male,40-49,Asian,Finance,Master,1,90,No,No,Yes,13,20,Yes
Male,30-39,White,HR,PhD,19,95,No,No,Yes,3,21,Yes
Female,50-59,Asian,Marketing,Master,11,80,Yes,Yes,No,12,15,No
Male,20-29,White,Finance,PhD,23,60,No,Yes,No,14,18,Yes
Male,30-39,Hispanic,Marketing,Bachelor,22,85,No,Yes,No,7,15,Yes
Female,40-49,Black,Marketing,Bachelor,23,90,No,Yes,Yes,5,10,No
Male,20-29,Asian,IT,PhD,24,85,No,No,Yes,5,25,Yes
Male,20-29,White,Marketing,PhD,22,95,No,Yes,Yes,6,7,Yes
Male,20-29,White,Marketing,PhD,19,60,No,Yes,Yes,7,22,No
Male,50-59,White,Finance,Master,18,90,No,Yes,Yes,10,0,Yes
Female,40-49,Hispanic,Finance,Bachelor,12,95,No,No,Yes,10,25,No
Female,30-39,Hispanic,IT,PhD,23,85,Yes,Yes,No,8,27,No
Male,50-59,Asian,Marketing,Master,28,85,Yes,No,Yes,9,20,Yes
Female,50-59,Asian,IT,Bachelor,28,90,No,Yes,No,11,25,No
Male,50-59,Hispanic,Marketing,Master,28,60,No,No,No,4,8,Yes
Female,20-29,Asian,HR,Bachelor,27,85,Yes,Yes,No,5,27,No
Male,40-49,Black,HR,Master,1,80,No,No,No,5,26,Yes
Male,50-59,Black,IT,Bachelor,19,95,Yes,Yes,No,8,11,Yes
Male,30-39,Hispanic,IT,Bachelor,28,90,Yes,No,Yes,9,21,Yes
Male,40-49,Asian,IT,Master,27,70,Yes,No,Yes,7,7,Yes
Male,30-39,White,Finance,PhD,20,70,No,Yes,Yes,5,25,Yes
Male,40-49,Black,Finance,Bachelor,29,60,No,No,Yes,3,16,Yes
Female,30-39,Hispanic,Finance,PhD,30,80,No,No,No,1,9,No
Male,20-29,Asian,IT,Master,17,85,Yes,Yes,No,11,26,Yes
Female,50-59,Hispanic,Marketing,PhD,5,70,Yes,Yes,No,9,6,No
Male,30-39,White,HR,PhD,26,60,Yes,No,Yes,5,18,Yes
Female,40-49,Black,IT,PhD,3,95,No,Yes,Yes,9,24,No
Female,50-59,Hispanic,Finance,PhD,2,80,Yes,Yes,Yes,10,5,No
Female,50-59,Hispanic,Finance,PhD,3,80,Yes,Yes,Yes,12,20,Yes
Male,40-49,Hispanic,IT,Bachelor,8,60,No,No,No,13,23,Yes
Male,30-39,White,IT,Bachelor,16,60,Yes,No,No,14,23,Yes
Female,20-29,Hispanic,Finance,Bachelor,6,85,Yes,No,Yes,4,27,Yes
Male,20-29,White,Marketing,Master,13,60,No,No,Yes,5,27,Yes
Female,30-39,White,Finance,PhD,30,85,No,No,No,4,18,No
Male,50-59,White,Finance,Bachelor,23,85,Yes,No,No,2,17,Yes
Female,50-59,Black,IT,Master,28,90,No,No,No,12,14,No
Female,50-59,Black,Marketing,Bachelor,22,80,Yes,Yes,No,1,1,No
Male,50-59,Hispanic,Finance,Bachelor,22,95,No,No,Yes,8,13,Yes
Female,30-39,Hispanic,Finance,PhD,16,80,Yes,No,No,4,20,No
Male,50-59,Black,HR,Master,28,80,No,Yes,No,5,9,Yes
Female,40-49,Asian,IT,PhD,16,90,Yes,Yes,No,6,27,No
Female,50-59,Black,HR,PhD,3,85,No,Yes,No,14,15,No
Male,20-29,White,HR,Bachelor,28,85,No,No,Yes,8,6,Yes
Male,50-59,Black,Finance,PhD,13,60,No,Yes,Yes,11,7,Yes
Male,30-39,White,IT,Master,14,90,No,No,Yes,8,9,Yes
Female,20-29,Hispanic,Marketing,PhD,8,60,No,No,Yes,7,14,No
Male,30-39,Asian,Finance,PhD,12,90,No,No,Yes,4,7,Yes
Female,30-39,Hispanic,Marketing,PhD,23,60,No,Yes,Yes,6,12,No
Female,20-29,White,Marketing,Bachelor,23,70,Yes,Yes,No,4,11,No
Male,30-39,White,IT,Master,22,80,Yes,No,No,14,7,Yes
Male,30-39,White,HR,Bachelor,21,80,No,No,No,7,14,Yes
Female,50-59,Asian,IT,Bachelor,26,95,No,No,No,12,25,No
Female,40-49,Black,Marketing,Bachelor,8,85,Yes,Yes,Yes,13,11,No
Male,30-39,Hispanic,Finance,Bachelor,21,95,Yes,No,No,12,10,Yes
Male,30-39,Hispanic,Marketing,Bachelor,25,70,No,Yes,Yes,13,18,Yes
Male,30-39,Black,Finance,Master,9,95,Yes,No,No,13,13,Yes
Male,50-59,Hispanic,Finance,PhD,1,80,Yes,Yes,No,11,26,Yes
Male,40-49,Asian,IT,Bachelor,6,85,No,No,No,14,17,Yes
Female,20-29,Hispanic,Marketing,Bachelor,23,70,No,Yes,Yes,1,12,No
Female,50-59,White,HR,Master,19,80,No,Yes,No,5,3,No
Female,50-59,Black,Marketing,Master,23,60,Yes,Yes,Yes,14,16,No
Female,40-49,Asian,Marketing,PhD,11,90,No,Yes,Yes,10,18,No
Male,40-49,Black,HR,Master,11,70,No,Yes,No,12,26,Yes
Male,50-59,Asian,IT,PhD,23,85,Yes,Yes,Yes,10,8,Yes
Male,20-29,White,Marketing,Bachelor,30,95,No,No,Yes,4,22,Yes
Female,50-59,Black,Marketing,Bachelor,13,95,Yes,No,No,11,6,Yes
Female,40-49,Hispanic,Finance,PhD,11,70,Yes,No,No,7,0,No
Male,20-29,Asian,Marketing,Master,18,85,Yes,No,No,13,6,Yes
Male,40-49,Black,HR,PhD,23,70,Yes,Yes,No,9,25,Yes
Female,20-29,Hispanic,Finance,Master,15,85,Yes,No,No,5,6,Yes
Female,30-39,Black,IT,Bachelor,1,95,Yes,Yes,No,4,19,No
Male,40-49,Black,Finance,Master,21,80,No,Yes,Yes,9,6,Yes
Male,40-49,Black,HR,PhD,25,60,No,Yes,No,5,7,No
Female,50-59,Asian,HR,PhD,7,80,No,No,No,9,15,No
Male,40-49,Hispanic,Finance,Bachelor,23,60,Yes,Yes,Yes,8,2,Yes
Male,40-49,White,IT,Master,27,95,No,No,No,4,12,No
Male,30-39,Asian,Finance,Master,13,80,Yes,No,Yes,11,9,Yes
Female,40-49,Asian,IT,Master,12,80,No,No,No,11,17,No
Female,30-39,Asian,Finance,Bachelor,18,70,Yes,No,No,7,6,Yes
Female,30-39,White,HR,Master,24,90,No,No,Yes,5,20,No
Female,30-39,Hispanic,Marketing,PhD,19,95,Yes,Yes,No,10,20,No
Female,30-39,Hispanic,Marketing,Master,15,85,No,Yes,Yes,4,29,No
Female,20-29,Hispanic,IT,Bachelor,8,95,Yes,No,No,5,4,No
Female,50-59,Black,IT,Master,19,85,No,Yes,No,5,22,No
Male,20-29,Black,IT,Master,10,85,Yes,No,Yes,11,24,Yes
Male,40-49,Black,HR,PhD,7,60,No,Yes,No,9,26,Yes
Male,20-29,White,Finance,Master,18,85,No,Yes,No,12,23,Yes
Male,20-29,Black,HR,PhD,16,85,No,Yes,Yes,9,21,Yes
Male,40-49,White,Marketing,PhD,20,70,Yes,Yes,No,6,6,No
Male,40-49,Hispanic,IT,Bachelor,27,80,Yes,Yes,Yes,14,24,No
Male,40-49,Black,Finance,PhD,6,95,Yes,Yes,No,4,29,Yes
Female,20-29,Black,Marketing,PhD,27,95,Yes,Yes,Yes,2,26,Yes
Female,20-29,Asian,Marketing,Bachelor,9,85,Yes,Yes,No,14,21,No
Male,40-49,White,Marketing,PhD,21,90,No,Yes,Yes,3,16,Yes
Male,50-59,Hispanic,HR,Bachelor,13,95,Yes,Yes,Yes,2,3,Yes
Female,50-59,Asian,IT,Master,25,85,No,Yes,No,5,23,No
Male,30-39,Asian,Marketing,Bachelor,21,60,No,Yes,No,6,22,Yes
Male,40-49,Hispanic,IT,PhD,26,60,Yes,Yes,Yes,11,15,Yes
Female,30-39,Asian,HR,Bachelor,8,60,No,No,No,5,18,Yes
Male,50-59,White,Marketing,PhD,16,85,Yes,Yes,Yes,2,9,Yes
Female,30-39,White,HR,Master,13,70,Yes,Yes,No,12,2,No
Male,40-49,Black,HR,Bachelor,13,90,Yes,Yes,No,5,26,Yes
Female,40-49,Asian,IT,Master,17,85,No,Yes,Yes,9,2,No
Female,40-49,Black,Marketing,PhD,23,70,Yes,Yes,Yes,4,27,No
Female,20-29,Asian,HR,PhD,20,70,Yes,Yes,No,12,16,No
Male,30-39,White,Marketing,Master,5,95,Yes,No,No,10,9,Yes
Female,50-59,White,IT,Bachelor,22,85,No,No,No,2,16,No
Male,50-59,White,HR,Bachelor,21,85,Yes,No,No,3,21,No
Male,50-59,Asian,IT,PhD,28,70,No,Yes,No,3,29,Yes
Male,20-29,White,Marketing,Master,17,70,No,Yes,Yes,9,29,Yes
Male,20-29,Asian,Marketing,Master,28,70,Yes,Yes,No,4,16,Yes
Female,40-49,Black,IT,Bachelor,9,95,No,No,No,1,20,No
Female,50-59,Asian,Finance,Bachelor,2,85,No,Yes,Yes,1,3,No
Male,20-29,Black,HR,Bachelor,25,70,Yes,Yes,Yes,7,20,Yes
Male,40-49,Asian,Marketing,Master,26,60,Yes,No,Yes,7,22,Yes
Female,50-59,Black,Marketing,Bachelor,18,85,Yes,No,No,2,5,No
Male,30-39,White,HR,Bachelor,9,95,No,Yes,Yes,9,11,Yes
Female,40-49,Black,IT,PhD,6,60,Yes,Yes,Yes,9,24,No
Male,20-29,White,IT,Bachelor,11,80,No,Yes,Yes,5,21,Yes
Male,20-29,White,IT,Bachelor,25,85,No,Yes,Yes,3,24,No
Female,40-49,Black,Finance,Master,29,80,No,No,No,3,19,No
Male,40-49,Asian,Finance,Master,6,70,No,Yes,No,12,16,Yes
Female,20-29,Asian,Marketing,PhD,6,95,No,Yes,No,3,16,No
Male,30-39,Hispanic,IT,Bachelor,13,70,Yes,No,Yes,6,9,Yes
Male,50-59,Asian,HR,PhD,11,95,Yes,Yes,Yes,4,6,Yes
Male,30-39,Hispanic,Marketing,Master,14,90,No,Yes,Yes,8,28,Yes
Female,40-49,Asian,HR,PhD,2,70,No,No,Yes,13,15,No
Male,30-39,Asian,Marketing,Master,8,80,Yes,No,Yes,11,28,Yes
Male,20-29,White,Finance,PhD,3,95,Yes,Yes,Yes,13,12,Yes
Male,40-49,Hispanic,Marketing,PhD,23,70,No,No,No,11,2,Yes
Male,50-59,Asian,Finance,Bachelor,21,85,No,No,No,11,1,Yes
Female,20-29,Hispanic,Marketing,PhD,3,95,Yes,Yes,Yes,5,15,No
Female,20-29,White,IT,Bachelor,1,95,Yes,No,No,1,29,No
Male,50-59,White,HR,Bachelor,24,70,No,Yes,Yes,9,5,Yes
Female,50-59,Hispanic,IT,Bachelor,19,90,Yes,Yes,Yes,1,5,No
Male,30-39,White,Marketing,Bachelor,18,70,Yes,Yes,No,6,12,Yes
Male,40-49,Black,Marketing,PhD,17,80,No,Yes,Yes,1,6,Yes
Male,50-59,Black,Marketing,Master,20,80,No,No,No,3,4,Yes
Female,50-59,White,Finance,Master,29,95,No,Yes,Yes,10,23,Yes
Female,40-49,Black,HR,Master,24,95,Yes,Yes,Yes,5,6,No
Female,50-59,Asian,HR,PhD,13,70,No,Yes,No,10,1,No
Female,50-59,Hispanic,Marketing,Bachelor,3,80,Yes,Yes,Yes,7,16,No
Female,30-39,Asian,Marketing,Master,30,80,No,No,Yes,14,12,No
Female,20-29,Hispanic,Finance,PhD,1,90,No,No,Yes,10,29,Yes
Female,20-29,White,IT,Bachelor,4,85,Yes,No,No,8,24,No
Female,20-29,Asian,IT,Master,25,90,Yes,Yes,Yes,12,20,No
Female,20-29,White,HR,Bachelor,13,60,No,No,Yes,9,27,No
Male,50-59,White,Finance,Master,17,90,No,No,Yes,6,26,Yes
Female,40-49,Hispanic,Marketing,Master,28,70,Yes,Yes,No,11,20,No
Female,40-49,Hispanic,HR,Master,30,85,No,No,No,9,27,No
Female,30-39,Hispanic,Finance,Bachelor,11,70,Yes,Yes,No,8,15,No
Female,30-39,Asian,IT,PhD,2,60,Yes,No,No,9,25,Yes
Female,50-59,Black,Finance,Bachelor,25,85,No,No,No,10,19,No
Female,40-49,Hispanic,IT,Master,16,95,Yes,No,Yes,4,1,No
Female,40-49,Hispanic,Finance,Bachelor,2,80,Yes,No,No,9,4,No
Female,20-29,Asian,HR,PhD,29,90,Yes,Yes,No,7,17,No
Female,50-59,Hispanic,IT,Bachelor,19,70,No,Yes,Yes,5,27,No
Female,50-59,Asian,HR,PhD,23,60,Yes,No,No,5,6,No
Female,20-29,White,HR,PhD,19,80,No,Yes,Yes,1,10,No
Male,50-59,Hispanic,IT,Bachelor,25,90,No,No,No,2,24,Yes
Male,50-59,Hispanic,IT,Master,16,80,No,No,Yes,10,24,No
Female,30-39,White,Marketing,PhD,22,90,Yes,No,Yes,3,10,Yes
Female,40-49,White,Marketing,Bachelor,19,95,Yes,No,No,14,21,No
Male,50-59,White,Marketing,PhD,9,85,No,No,No,14,16,Yes
Female,30-39,Hispanic,HR,Master,1,80,No,No,Yes,8,15,No
Male,40-49,Black,HR,Bachelor,10,80,Yes,Yes,Yes,6,12,Yes
Male,20-29,Black,Marketing,Bachelor,19,80,No,Yes,Yes,12,21,Yes
Male,30-39,Black,HR,Bachelor,1,85,No,No,Yes,10,4,Yes
Male,30-39,Hispanic,HR,Master,2,60,Yes,Yes,Yes,11,19,Yes
Male,40-49,White,IT,PhD,16,90,No,No,Yes,13,15,Yes
Female,20-29,Hispanic,IT,Bachelor,12,95,Yes,Yes,Yes,14,27,No
Male,30-39,White,HR,PhD,8,80,Yes,Yes,No,5,21,Yes
Female,50-59,Hispanic,Marketing,PhD,23,85,No,Yes,Yes,13,21,Yes
Female,50-59,Hispanic,Finance,Master,18,60,Yes,No,No,1,15,No
Male,50-59,White,Marketing,Bachelor,2,90,Yes,Yes,No,12,15,Yes
Male,20-29,Black,Finance,PhD,25,85,Yes,No,Yes,11,13,Yes
Female,30-39,White,Marketing,Bachelor,29,95,No,No,Yes,12,5,No
Male,50-59,Asian,IT,Bachelor,13,95,No,No,No,9,1,Yes
Male,20-29,Asian,HR,Master,6,90,No,Yes,Yes,3,13,Yes
Female,50-59,White,HR,Bachelor,21,80,Yes,Yes,Yes,3,15,Yes
Female,40-49,Hispanic,IT,Bachelor,26,95,Yes,Yes,No,2,22,No
Male,30-39,Asian,Finance,PhD,6,60,No,No,No,4,29,Yes
Female,30-39,Asian,Finance,Master,9,85,No,No,No,12,19,No
Male,20-29,Hispanic,Finance,Bachelor,16,60,Yes,Yes,Yes,2,12,Yes
Male,20-29,Hispanic,IT,PhD,11,80,No,No,Yes,13,14,Yes
Male,30-39,Black,Finance,Master,7,60,No,Yes,No,9,11,Yes
Female,50-59,Hispanic,IT,Master,10,60,No,Yes,Yes,12,8,No
Female,50-59,White,Marketing,PhD,10,70,No,Yes,No,10,25,No
Female,40-49,White,Marketing,PhD,30,60,No,Yes,Yes,7,17,No
Female,50-59,Black,IT,PhD,25,90,Yes,No,No,8,20,No
Female,20-29,Asian,HR,PhD,20,85,No,Yes,Yes,3,13,No
Male,20-29,Asian,Marketing,PhD,18,70,No,Yes,No,6,19,Yes
Male,50-59,Hispanic,Finance,Bachelor,28,85,Yes,Yes,Yes,10,24,Yes
Male,20-29,White,IT,Bachelor,24,85,Yes,Yes,Yes,6,3,No
Male,30-39,Asian,Finance,Master,20,80,Yes,Yes,No,13,7,Yes
Female,30-39,Black,Finance,Bachelor,29,80,Yes,Yes,Yes,1,7,No
Male,50-59,Black,HR,Bachelor,9,70,No,Yes,Yes,6,21,Yes
Female,30-39,White,Finance,Bachelor,15,95,No,No,No,13,21,No
Male,30-39,Black,HR,PhD,4,80,No,No,Yes,14,15,Yes
Female,40-49,Black,Marketing,Master,8,80,No,No,Yes,3,26,No
Female,40-49,White,IT,Master,9,80,Yes,No,Yes,11,23,No
Male,30-39,Hispanic,Finance,Master,13,85,Yes,Yes,No,3,27,Yes
Male,50-59,Hispanic,IT,Master,9,70,No,No,No,3,28,Yes
Male,40-49,Black,Finance,Bachelor,26,85,No,No,No,10,27,Yes
Male,20-29,Hispanic,IT,Bachelor,4,90,No,No,No,11,9,Yes
Female,20-29,Hispanic,Finance,PhD,17,85,No,Yes,No,11,24,No
Male,20-29,Black,Finance,Master,16,90,Yes,No,Yes,10,20,Yes
Male,50-59,Hispanic,Finance,Bachelor,15,60,No,No,Yes,11,26,Yes
Female,30-39,Black,Finance,Bachelor,3,60,Yes,Yes,No,8,16,No
Male,20-29,Asian,Finance,PhD,25,90,Yes,No,Yes,13,0,Yes
Male,50-59,White,Finance,PhD,20,90,Yes,Yes,Yes,5,17,Yes
Male,40-49,White,Finance,PhD,5,85,Yes,No,Yes,4,9,Yes
Male,30-39,Hispanic,Finance,Bachelor,23,90,No,Yes,Yes,13,25,Yes
Male,40-49,Hispanic,Finance,Bachelor,5,70,No,No,No,9,20,Yes
Female,50-59,Hispanic,IT,PhD,20,60,No,No,No,9,3,Yes
Male,20-29,White,HR,Master,15,60,No,No,Yes,1,0,Yes
Male,20-29,Asian,Finance,PhD,18,95,Yes,Yes,Yes,2,3,Yes
Male,50-59,Asian,HR,PhD,15,90,Yes,No,No,8,3,Yes
Male,20-29,White,Finance,PhD,2,80,Yes,Yes,Yes,5,25,Yes
Male,30-39,Asian,Finance,PhD,29,80,No,Yes,Yes,7,3,Yes
Female,50-59,White,IT,Bachelor,13,90,Yes,Yes,Yes,1,16,No
Male,40-49,Asian,Marketing,Master,4,70,Yes,Yes,No,12,8,Yes
Female,50-59,Black,Marketing,PhD,10,80,Yes,No,No,10,29,No
Female,30-39,Black,IT,Master,13,95,Yes,No,Yes,12,18,No
Male,30-39,White,HR,Master,10,90,No,No,Yes,5,12,Yes
Male,50-59,Asian,Marketing,Master,29,70,Yes,Yes,Yes,11,3,Yes
Male,50-59,Hispanic,IT,PhD,9,70,Yes,No,Yes,12,4,Yes
Male,20-29,Asian,IT,Bachelor,8,85,No,Yes,Yes,3,28,Yes
Female,30-39,Black,Marketing,PhD,3,70,No,Yes,Yes,10,12,No
Male,50-59,Black,HR,Master,16,80,No,Yes,No,12,22,Yes
Male,50-59,Asian,IT,Master,14,80,Yes,No,No,12,15,Yes
Male,30-39,Asian,Finance,Bachelor,9,90,Yes,No,Yes,14,21,No
Male,50-59,Hispanic,HR,PhD,30,90,Yes,Yes,No,2,4,No
